LONGITUDE,LATITUDE,INSTITUICAO,ALT_ORTOMETRICA,GRAV_OBS,GRAV_ARLIVRE,GRAV_BOUGUER,FONTE
-61.54310552,-11.59092103,SGB,213.01,978207.98,30.59,6.75,SGB
-61.54559471,-11.59881126,SGB,220.21,978205.76,30.3,5.66,SGB
-61.54971821,-11.60769007,SGB,209.72,978208.54,29.53,6.06,SGB
-61.5530366,-11.61685221,SGB,178.99,978216.21,27.38,7.34,SGB
-61.54988552,-11.62548785,SGB,180.06,978216.07,27.26,7.1,SGB
-61.54997815,-11.63523806,SGB,203.47,978212.85,30.9,8.13,SGB
-61.54981423,-11.64461703,SGB,207.24,978213.59,32.47,9.27,SGB
-61.54981617,-11.65438041,SGB,232.87,978210.21,36.63,10.57,SGB
-61.5495427,-11.66411617,SGB,211.93,978217.5,37.1,13.38,SGB
-61.54941832,-11.6741011,SGB,208.86,978219.46,37.75,14.37,SGB
-61.54916039,-11.68349228,SGB,221.62,978216.21,38.09,13.29,SGB
-61.54922244,-11.69287149,SGB,206.18,978219.36,36.13,13.05,SGB
-61.54906722,-11.70254298,SGB,202.63,978219.64,34.96,12.28,SGB
-61.54902026,-11.71189183,SGB,203.63,978218.92,34.21,11.41,SGB
-61.54916629,-11.72123245,SGB,198.36,978219.94,33.25,11.05,SGB
-61.54357744,-11.72654753,SGB,206.05,978218.94,34.44,11.37,SGB
-61.53355789,-11.7263498,SGB,222.58,978215.2,35.8,10.89,SGB
-61.52171004,-11.72658785,SGB,233.72,978211.61,35.64,9.48,SGB
-61.51242894,-11.72662622,SGB,243.73,978210.07,37.19,9.91,SGB
-61.50298498,-11.72674499,SGB,216.96,978213.81,32.67,8.38,SGB
-61.49517715,-11.7265309,SGB,215,978215.5,33.76,9.7,SGB
-61.48661758,-11.72644913,SGB,205.06,978217.85,33.04,10.09,SGB
-61.47584947,-11.7266282,SGB,202.37,978218.69,33.05,10.4,SGB
-61.46798381,-11.72658567,SGB,198.33,978219.23,32.34,10.14,SGB
-61.45772148,-11.72632551,SGB,190.25,978220.32,30.94,9.65,SGB
-61.45211518,-11.73422548,SGB,202.37,978217.4,31.48,8.83,SGB
-61.45330633,-11.74413306,SGB,238.61,978208.69,33.58,6.88,SGB
-61.45469015,-11.75361146,SGB,211.04,978213.12,29.15,5.53,SGB
-61.45520458,-11.7618694,SGB,234.33,978210.64,33.55,7.33,SGB
-61.45510577,-11.77171413,SGB,225.28,978215.63,35.4,10.18,SGB
-61.45492949,-11.78117314,SGB,234.98,978214.27,36.67,10.37,SGB
-61.45618511,-11.79230935,SGB,227.12,978217.04,36.61,11.19,SGB
-61.46201087,-11.79726067,SGB,236.87,978214.78,37.17,10.66,SGB
-61.47107499,-11.80037337,SGB,220.43,978218.46,35.66,10.99,SGB
-61.47943667,-11.80386352,SGB,227.88,978218.46,37.83,12.33,SGB
-61.48520659,-11.80987294,SGB,225.37,978220.43,38.8,13.58,SGB
-61.49421795,-11.8070812,SGB,207.92,978222.97,36.06,12.79,SGB
-61.50249319,-11.80435729,SGB,211.77,978224.41,38.79,15.09,SGB
-61.50931641,-11.8102433,SGB,226.87,978224.3,43.13,17.73,SGB
-61.51477573,-11.8178794,SGB,223.13,978226.99,44.37,19.4,SGB
-61.52080844,-11.82609997,SGB,236.46,978224.42,45.61,19.14,SGB
-61.52591438,-11.83315163,SGB,250.99,978221.35,46.76,18.67,SGB
-61.53071303,-11.84055216,SGB,263.46,978217.67,46.65,17.17,SGB
-61.53036884,-11.84975706,SGB,268.09,978217.33,47.4,17.4,SGB
-61.52927936,-11.85875915,SGB,233.18,978221.61,40.57,14.47,SGB
-61.52539723,-11.86818867,SGB,227.54,978224.37,41.24,15.77,SGB
-61.52165503,-11.87723963,SGB,233.87,978224,42.49,16.32,SGB
-61.51778346,-11.88633728,SGB,282.74,978216.79,50.02,18.37,SGB
-61.51575949,-11.89410915,SGB,269.21,978220.98,49.74,19.61,SGB
-61.51416512,-11.90333657,SGB,251.09,978227.43,50.26,22.15,SGB
-61.5133599,-11.9128292,SGB,280.41,978222.82,54.34,22.95,SGB
-61.5126754,-11.92157691,SGB,268.37,978227.5,54.97,24.94,SGB
-61.5120033,-11.93063977,SGB,284.38,978226.75,58.82,26.99,SGB
-61.51136665,-11.94008056,SGB,294.29,978225.82,60.6,27.67,SGB
-61.51075001,-11.94904951,SGB,282.03,978228.92,59.58,28.02,SGB
-61.51843601,-11.9523079,SGB,301.46,978225.38,61.92,28.17,SGB
-61.5275563,-11.95222038,SGB,294.38,978226.94,61.29,28.34,SGB
-61.53715562,-11.95223856,SGB,283.91,978228.48,59.6,27.83,SGB
-61.54445738,-11.95613897,SGB,278.54,978229.97,59.29,28.11,SGB
-61.54425984,-11.96569892,SGB,298.08,978226.49,61.48,28.12,SGB
-61.54440257,-11.97552705,SGB,306.13,978225.06,62.16,27.9,SGB
-61.54445407,-11.98444221,SGB,267.04,978232.78,57.49,27.6,SGB
-61.54439895,-11.99362583,SGB,265.93,978232.87,56.88,27.12,SGB
-61.54422779,-12.00182009,SGB,256.93,978234.56,55.49,26.74,SGB
-61.54660253,-12.01144046,SGB,289.92,978227.57,58.31,25.86,SGB
-61.54902233,-12.01941886,SGB,275.34,978228.37,54.31,23.49,SGB
-61.5457517,-12.02724159,SGB,286.79,978226.87,56.06,23.96,SGB
-61.54446192,-12.03760299,SGB,296.19,978223.19,54.89,21.73,SGB
-61.54438545,-12.04767841,SGB,295.87,978222.9,54.11,20.99,SGB
-61.54435079,-12.0568541,SGB,317.28,978216.79,54.26,18.75,SGB
-61.54435556,-12.06617401,SGB,313.26,978217.89,53.76,18.7,SGB
-61.54432867,-12.07445377,SGB,310.75,978217.64,52.43,17.64,SGB
-61.54544377,-12.08644066,SGB,324.38,978215.87,54.41,18.1,SGB
-61.55355977,-12.08749509,SGB,321.63,978216.65,54.3,18.3,SGB
-61.56231769,-12.08759778,SGB,312.84,978217.85,52.79,17.77,SGB
-61.57108346,-12.08781766,SGB,322.57,978214.73,52.66,16.55,SGB
-61.57928241,-12.08910637,SGB,344.3,978210.27,54.86,16.32,SGB
-61.58119784,-12.09803921,SGB,381.74,978203.5,59.3,16.57,SGB
-61.58108474,-12.10714686,SGB,345.82,978211.03,55.4,16.7,SGB
-61.58202255,-12.11596492,SGB,349.26,978210.3,55.39,16.3,SGB
-61.58110833,-12.12576216,SGB,312.54,978218.56,51.95,16.96,SGB
-61.58499235,-12.13299601,SGB,319.87,978217.67,53.05,17.25,SGB
-61.58568334,-12.13991025,SGB,330.36,978216.5,54.85,17.88,SGB
-61.58535976,-12.14996708,SGB,345.5,978214.53,57.16,18.49,SGB
-61.5855017,-12.15977441,SGB,311.71,978219.49,51.33,16.44,SGB
-61.59479468,-12.16224477,SGB,317.8,978218.62,52.24,16.67,SGB
